id,name,latitude,longitude,website
316058290,,35.2845127,139.5648215,
316518668,Faro del Cerro Santa Ana,-2.1808795,-79.8754992,
316624604,Minicoy Island Light House,8.2693766,73.0260912,
316636664,Parsons Point,6.7546729,93.836871,
316739839,Pigeon Point Light,37.1817414,-122.3938851,
316774553,,51.1140833,1.3229667,
316963656,,29.2401477,-13.4704201,
318441760,Point Stephens Lighthouse,-32.7470489,152.201385,
318475725,Inner Light,-32.7103476,152.1614092,
319280140,Faro di Monte Poro,42.7277869,10.2373364,
321991598,Farol de São Lourenço,32.729873,-16.6567444,
322118873,Môle Nord (Bâbord),47.7915097,-4.2850516,
322481116,Pulicat Lighthouse,13.4212564,80.3261476,
322520614,Howth Lighthouse,53.3940913,-6.0668424,
322520615,Mizen Head Lighthouse,51.4501258,-9.8195885,
322520617,Dun Laoghaire East Lighthouse,53.3024253,-6.1270552,
322520619,Valentia Front Leading Light,51.92537,-10.3067503,
322520620,Straw Island Lighthouse,53.1180064,-9.6307899,
322520621,Chaine Tower Lighthouse,54.8545,-5.797967,
322520623,Inishowen Lighthouse,55.2258654,-6.9290046,
322520624,Black Head (Clare),53.1538954,-9.2649505,
322520625,Ardnakinna Point Lighthouse,51.6184724,-9.9181261,
322520627,Maidens Lighthouse,54.9291337,-5.7278176,
322520628,Vidal Bank Leading Light,54.029983,-6.09055,
322520629,Rathlin East (Altacarry Head) Lighthouse,55.3015803,-6.1711214,
322520637,Bull Rock Lighthouse,51.5917781,-10.3011347,
322520639,Dun Laoghaire West Lighthouse,53.3032287,-6.1308793,
322520643,Sheep's Head Lighthouse,51.542842,-9.8486088,
322520644,Muglins Lighthouse,53.275568,-6.0758445,
322520646,Roancarrigmore Lighthouse,51.653,-9.747,
322520650,Dunree Lighthouse,55.19805,-7.5541399,
322520654,Saint John's Point,54.5693388,-8.459921,
322520666,Tuskar Lighthouse,52.2029602,-6.2069989,
322520672,Kish Lighthouse,53.310833,-5.9257,
322520675,Green Island Leading Light,54.03265,-6.0959,
322520676,Castletownbere Lighthouse,51.64629,-9.9052697,
322520677,Charlesfort Lighthouse,51.6957364,-8.4996355,
322520679,Youghal Lighthouse,51.9428654,-7.8420461,
322520691,Haulbowline Lighthouse,54.019932,-6.079,
322520692,Cromwell Point Lighthouse,51.9337397,-10.3211774,
